Region,BLOCK POS,Population,Family.Unique,Sample.ID,POS IN TRAY,weight (mg),dC13,CID,d15N
GL_Alvar,3-E14,CAR-NBA,CAR-NBA_1,CAR-NBA.1.3,C4,4.9,-29.53,-0.000754653,0.34
GL_Alvar,3-E14,CAR-NBA,CAR-NBA_1,CAR-NBA.1.3,B10,4.6,-29.67,-0.000755879,0.02
GL_Alvar,5-J2,CAR-NBA,CAR-NBA_10,CAR-NBA.10.5,D11,4.9,-28.73,-0.000747558,-0.35
GL_Alvar,5-J2,CAR-NBA,CAR-NBA_10,CAR-NBA.10.5,C1,4.2,-29.37,-0.000753232,0.45
GL_Alvar,7-M13,CAR-NBA,CAR-NBA_11,CAR-NBA.11.7,F3,4.3,-30.55,-0.000763147,-0.19
GL_Alvar,12-F12,CAR-NBA,CAR-NBA_12,CAR-NBA.12.12,A9,4.8,-29.02,-0.000750136,-0.06
GL_Alvar,7-K13,CAR-NBA,CAR-NBA_13,CAR-NBA.13.7,E11,4.5,-29.45,-0.000753997,0.96
GL_Alvar,12-A12,CAR-NBA,CAR-NBA_21,CAR-NBA.21.12,A3,4.6,-29.4,-0.000753498,1.89
GL_Alvar,12-A12,CAR-NBA,CAR-NBA_21,CAR-NBA.21.12,A5,4.8,-29.01,-0.000750069,1.76
GL_Alvar,3-D15,CAR-PSR,CAR-PSR_1,CAR-PSR.1.3,C2,4.2,-29.94,-0.000758161,1.63
GL_Alvar,2-L5,CAR-PSR,CAR-PSR_10,CAR-PSR.10.2,B5,4.3,-29.54,-0.000754751,-0.1
GL_Alvar,2-G11,CAR-PSR,CAR-PSR_12,CAR-PSR.12.2,A11,4.7,-29.34,-0.000752967,-0.6
GL_Alvar,2-G11,CAR-PSR,CAR-PSR_12,CAR-PSR.12.2,A12,4.6,-29.55,-0.000754837,0.89
GL_Alvar,3-H15,CAR-PSR,CAR-PSR_14,CAR-PSR.14.3,C7,4.6,-29.69,-0.000756047,-0.49
GL_Alvar,3-H15,CAR-PSR,CAR-PSR_14,CAR-PSR.14.3,C8,4.2,-29.54,-0.000754731,-0.54
GL_Alvar,3-J16,CAR-PSR,CAR-PSR_20,CAR-PSR.20.3,C9,4.6,-29.12,-0.00075107,-0.15
GL_Alvar,3-A10,MAN-FOX,MAN-FOX_18,MAN-FOX.18.3,B7,4.5,-29.38,-0.000753378,0.41
GL_Alvar,7-E10,MAN-FOX,MAN-FOX_2,MAN-FOX.2.7,F1,4.5,-29.1,-0.000750919,1.55
GL_Alvar,11-K12,MAN-FOX,MAN-FOX_22,MAN-FOX.22.11,H12,4.1,-29.35,-0.000753113,0.98
GL_Alvar,7-K4,MAN-FOX,MAN-FOX_29,MAN-FOX.29.7,E12,4.5,-30.33,-0.000761307,0.06
GL_Alvar,2-J13,MAN-FOX,MAN-FOX_3,MAN-FOX.3.2,B3,4.6,-29.24,-0.000752133,0.92
GL_Alvar,12-M10,MAN-KIP,MAN-KIP_11,MAN-KIP.11.12,A12,4.8,-29.57,-0.000755001,-0.15
GL_Alvar,3-B8,MAN-KIP,MAN-KIP_15,MAN-KIP.15.3,B11,4.6,-29.24,-0.000752115,-0.03
GL_Alvar,4-N8,MAN-KIP,MAN-KIP_16,MAN-KIP.16.4,D5,4.7,-29.25,-0.000752243,1.33
GL_Alvar,3-E10,MAN-KIP,MAN-KIP_24,MAN-KIP.24.3,C3,4.9,-29.76,-0.000756615,0.09
GL_Alvar,3-E10,MAN-KIP,MAN-KIP_24,MAN-KIP.24.3,B9,4.5,-29.42,-0.000753688,0.3
GL_Alvar,12-K12,MAN-KIP,MAN-KIP_28,MAN-KIP.28.12,B3,4.4,-29.31,-0.000752718,1.48
GL_Alvar,11-I7,MAN-LCI,MAN-LCI_11,MAN-LCI.11.11,H9,4.8,-29.16,-0.000751443,1.01
GL_Alvar,11-I7,MAN-LCI,MAN-LCI_11,MAN-LCI.11.11,H10,4.7,-29.2,-0.000751761,0.51
GL_Alvar,2-F8,MAN-LCI,MAN-LCI_12,MAN-LCI.12.2,A10,4.5,-27.14,-0.00073222,1.1
GL_Alvar,10-B7,MAN-LCI,MAN-LCI_13,MAN-LCI.13.10,G8,4.8,-28.65,-0.000746868,0.54
GL_Alvar,2-I4,MAN-LCI,MAN-LCI_15,MAN-LCI.15.2,B1,4.7,-29.06,-0.000750565,0.91
GL_Alvar,1-B2,MAN-LCI,MAN-LCI_2,MAN-LCI.2.1,A2,5,-29.3,-0.000752632,1.31
GL_Alvar,1-B2,MAN-LCI,MAN_LCI_2,MAN-LCI.2.1,B4,4.3,-29.44,-0.000753826,1.34
GL_Alvar,3-C8,MAN-MIS,MAN-MIS_11,MAN-MIS.11.3,B12,4.1,-28.43,-0.000744814,0.72
GL_Alvar,5-A10,MAN-MIS,MAN-MIS_18,MAN-MIS.18.5,D6,4.9,-29.36,-0.000753134,0.21
GL_Alvar,5-A10,MAN-MIS,MAN-MIS_18,MAN-MIS.18.5,D7,4.3,-29.35,-0.000753099,0.15
GL_Alvar,5-A10,MAN-MIS,MAN-MIS_18,MAN-MIS.18.5,B11,4.3,-29.18,-0.000751578,0.55
GL_Alvar,11-G15,MAN-MIS,MAN-MIS_20,MAN-MIS.20.11,H8,4.5,-28.69,-0.000747166,1.36
GL_Alvar,8-E4,MAN-MIS,MAN-MIS_23,MAN-MIS.23.8,F6,4.9,-28.87,-0.000748841,0.54
GL_Alvar,8-E4,MAN-MIS,MAN-MIS_23,MAN-MIS.23.8,C4,4.4,-28.6,-0.00074636,1.14
GL_Alvar,8-G11,MAN-MIS,MAN-MIS_27,MAN-MIS.27.8,F9,4.4,-29.59,-0.000755147,0.01
GL_Alvar,8-G11,MAN-MIS,MAN-MIS_27,MAN-MIS.27.8,F10,4.8,-29.56,-0.000754866,-0.1
GL_Alvar,10-M5,MI-DRI,MI-DRI_13,MI-DRI.13.10,H3,4.3,-29.73,-0.000756385,1.29
GL_Alvar,5-K8,MI-DRI,MI-DRI_15,MI-DRI.15.5,D12,4.3,-29.58,-0.000755095,0.81
GL_Alvar,7-E12,MI-DRI,MI-DRI_18,MI-DRI.18.7,E8,4.9,-29.7,-0.000756119,0.93
GL_Alvar,7-E12,MI-DRI,MI-DRI_18,MI-DRI.18.7,E9,4.5,-29.66,-0.000755745,0.81
GL_Alvar,7-N15,MI-DRI,MI-DRI_2,MI-DRI.2.7,F4,4.6,-30.42,-0.000762089,1
GL_Alvar,1-I16,NAP-ASS,NAP-ASS_11,NAP-ASS.11.1,A5,5.1,-29.21,-0.00075189,1.59
GL_Alvar,1-I16,NAP-ASS,NAP-ASS_11,NAP-ASS.11.1,B6,4.4,-29.16,-0.000751403,1.21
GL_Alvar,7-N7,NAP-ASS,NAP-ASS_16,NAP-ASS.16.7,F5,4.8,-30.05,-0.00075904,-0.24
GL_Alvar,4-D10,NAP-ASS,NAP-ASS_19,NAP-ASS.19.4,C11,4.2,-30.17,-0.000760042,-0.45
GL_Alvar,12-D10,NAP-ASS,NAP-ASS_25,NAP-ASS.25.12,A6,4.6,-30.11,-0.000759533,0.45
GL_Alvar,6-I14,NAP-ASS,NAP-ASS_27,NAP-ASS.27.6,E2,4.4,-30.21,-0.000760335,0.71
GL_Alvar,1-N13,NAP-CE,NAP-CE_14,NAP-CE.14.1,A6,5,-29.49,-0.000754316,0.27
GL_Alvar,1-N13,NAP-CE,NAP-CE_14,NAP-CE.14.1,B7,4.3,-29.66,-0.000755781,0.37
GL_Alvar,4-L16,NAP-CE,NAP-CE_19,NAP-CE.19.4,D1,4.5,-29.62,-0.000755454,1.73
GL_Alvar,8-F13,NAP-CE,NAP-CE_2,NAP-CE.2.8,F7,4.9,-30.01,-0.000758701,2.14
GL_Alvar,8-F13,NAP-CE,NAP-CE_2,NAP-CE.2.8,C5,4.2,-29.7,-0.000756111,0.51
GL_Alvar,4-N13,NAP-CE,NAP-CE_23,NAP-CE.23.4,D3,4.3,-29.65,-0.000755681,0.22
GL_Alvar,11-J3,NAP-CE,NAP-CE_24,NAP-CE.24.11,H11,4.8,-29.83,-0.000757205,0.45
GL_Alvar,8-I2,NAP-SCH,NAP-SCH_11,NAP-SCH.11.8,F11,4.4,-29.31,-0.000752721,1.01
GL_Alvar,10-C3,NAP-SCH,NAP-SCH_14,NAP-SCH.14.10,G9,4.5,-29.24,-0.000752097,0.35
GL_Alvar,5-J11,NAP-SCH,NAP-SCH_17,NAP-SCH.17.5,D9,4.8,-29.97,-0.00075833,0.82
GL_Alvar,12-K5,NAP-SCH,NAP-SCH_20,NAP-SCH.20.12,G1,4.3,-29.29,-0.000752559,0.77
GL_Alvar,2-J12,NAP-SCH,NAP-SCH_23,NAP-SCH.23.2,B2,4.7,-29.02,-0.000750201,1.83
GL_Alvar,11-E16,WNY-CB,WNY-CB_10,WNY-CB.10.11,H5,4.6,-29.42,-0.0007537,2.25
GL_Alvar,9-J4,WNY-CB,WNY-CB_16,WNY-CB.16.9,G5,4.2,-29.58,-0.000755043,1.78
GL_Alvar,4-D6,WNY-CB,WNY-CB_18,WNY-CB.18.4,C12,4.3,-29.09,-0.000750765,0.55
GL_Alvar,12-J12,WNY-CB,WNY-CB_23,WNY-CB.23.12,B1,4.4,-28.96,-0.000749637,1.36
MB_Alvar,10-E12,MB-CRN,MB-CRN_10,MB-CRN.10.10,G10,4.4,-28.93,-0.000749397,-0.49
MB_Alvar,1-A12,MB-CRN,MB-CRN_16,MB-CRN.16.1,A1,4.7,-29.62,-0.000755435,0.22
MB_Alvar,6-B10,MB-CRN,MB-CRN_17,MB-CRN.17.6,E1,4.4,-28.93,-0.000749337,0.47
MB_Alvar,10-I12,MB-CRN,MB-CRN_2,MB-CRN.2.10,G11,4.5,-29.84,-0.000757258,0.32
MB_Alvar,10-I12,MB-CRN,MB-CRN_2,MB-CRN.2.10,G12,4.7,-30.28,-0.000760936,0.24
MB_Alvar,7-B2,MB-CRN,MB-CRN_21,MB-CRN.21.7,E7,4.9,-29.72,-0.000756304,0.85
MB_Alvar,7-B2,MB-CRN,MB-CRN_21,MB-CRN.21.7,C3,4.4,-29.91,-0.000757893,0.63
MB_Alvar,7-A12,MB-MR,MB-MR_10,MB-MR.10.7,E6,4.9,-29.45,-0.000753987,0.04
MB_Alvar,7-A12,MB-MR,MB-MR_10,MB-MR.10.7,C2,4.2,-29.24,-0.000752089,0.25
MB_Alvar,4-N12,MB-MR,MB-MR_13,MB-MR.13.4,D2,4.7,-30.03,-0.00075883,0.97
MB_Alvar,12-G6,MB-MR,MB-MR_19,MB-MR.19.12,A10,4.8,-29.82,-0.00075709,0.57
MB_Alvar,10-J15,MB-MR,MB-MR_2,MB-MR.2.10,H1,4.1,-29.83,-0.000757208,-0.59
MB_Alvar,3-L3,MB-MR,MB-MR_21,MB-MR.21.3,C10,4.4,-30.45,-0.000762334,-0.49
Prairie,9-E8,AB-HSC,AB-HSC_8,AB-HSC.8.9,G3,4.4,-30.37,-0.000761683,1.26
Prairie,3-D13,AB-LL,AB-LL_10,AB-LL.10.3,C1,4.2,-29.16,-0.000751459,-0.1
Prairie,6-L15,AB-LL,AB-LL_12,AB-LL.12.6,E5,4.5,-30.34,-0.000761378,-0.46
Prairie,1-N16,AB-LL,AB-LL_13,AB-LL.13.1,A7,4.3,-29.58,-0.000755078,0.76
Prairie,3-B13,AB-LL,AB-LL_22,AB-LL.22.3,B10,4.6,-29.76,-0.0007566,0.52
Prairie,5-F4,AB-LL,AB-LL_26,AB-LL.26.5,D8,4.9,-30.21,-0.000760348,-0.38
Prairie,5-F4,AB-LL,AB-LL_26,AB-LL.26.5,B12,4.5,-30.12,-0.000759629,-0.35
Prairie,4-N2,AB-RO,AB-RO_8,AB-RO.8.4,D4,4.3,-30.34,-0.00076144,2.22
Prairie,1-I15,MN-PMG,MN-PMG_NA,MN-PMG.1,A4,4.9,-29.09,-0.000750818,3.42
Prairie,1-I15,MN-PMG,MN-PMG_NA,MN-PMG.1,B5,4.5,-28.97,-0.000749731,2.3
Prairie,11-L7,MN-PMG,MN-PMG_NA,MN-PMG.11,A2,4.7,-29.12,-0.000751064,1.94
Prairie,12-D4,MN-PMG,MN-PMG_NA,MN-PMG.12,A7,4.9,-29.15,-0.000751333,1.46
Prairie,12-D4,MN-PMG,MN-PMG_NA,MN-PMG.12,A8,4.9,-29.64,-0.000755596,1.21
Prairie,12-D4,MN-PMG,MN-PMG_NA,MN-PMG.12,C6,4.3,-29.21,-0.000751901,1.38
Prairie,12-D4,MN-PMG,MN-PMG_NA,MN-PMG.12,C7,4.3,-29.06,-0.00075056,1.38
Prairie,9-K7,MN-PMG,MN-PMG_NA,MN-PMG.21,G7,4.3,-30.72,-0.000764486,1.06
Prairie,10-M13,MN-PMG,MN-PMG_NA,MN-PMG.22,H2,4.3,-31.08,-0.000767262,-0.56
Prairie,9-I4,ND-BSP,ND-BSP_19,ND-BSP.19.9,G4,4.2,-29.87,-0.000757518,2.99
Prairie,11-C13,ND-BSP,ND-BSP_22,ND-BSP.22.11,H4,4.7,-30.91,-0.000765953,-0.22
Prairie,3-G14,ND-BSP,ND-BSP_25,ND-BSP.25.3,C6,4.4,-31.35,-0.000769352,0.53
Prairie,6-K7,ND-BSP,ND-BSP_29,ND-BSP.29.6,E3,4.8,-30.41,-0.000761954,3.07
Prairie,9-K3,ND-BSP,ND-BSP_33,ND-BSP.33.9,G6,4.2,-30.08,-0.000759296,0.9
Prairie,1-N6,SD-MUD,SD-MUD_1,SD-MUD.1.1,A8,4.3,-30.3,-0.000761057,0.17
Prairie,7-M10,SD-MUD,SD-MUD_10,SD-MUD.10.7,F2,4.2,-31.64,-0.000771578,4.18
Prairie,2-L4,SD-MUD,SD-MUD_15,SD-MUD.15.2,B4,4.8,-29.49,-0.000754319,-1.41
Prairie,2-B7,SD-MUD,SD-MUD_18,SD-MUD.18.2,A9,4.4,-30.21,-0.000760365,0.97
Prairie,3-A16,SD-MUD,SD-MUD_19,SD-MUD.19.3,B8,4.4,-29.56,-0.000754893,0.32
Prairie,3-A16,SD-MUD,SD-MUD_19,SD-MUD.19.3,B8,4.7,-29.9,-0.00075776,0.11
Prairie,3-A16,SD-MUD,SD-MUD_19,SD-MUD.19.3,B9,4.9,-29.69,-0.000756009,0.34
Prairie,11-K5,SD-PMG,SD-PMG_NA,SD-PMG.11,A1,4.5,-30.47,-0.000762496,1.64
Prairie,1-E2,SD-PMG,SD-PMG_NA,SD-PMG.13,A3,4.6,-30.23,-0.000760507,0.93
Prairie,3-G12,SD-PMG,SD-PMG_NA,SD-PMG.15,C5,4.8,-30.6,-0.000763506,0.48
Prairie,8-F7,SD-PMG,SD-PMG_NA,SD-PMG.20,F8,4.5,-30.62,-0.000763696,-0.49
Prairie,11-G14,SD-PMG,SD-PMG_NA,SD-PMG.23,H6,4.3,-30.56,-0.000763194,1.99
Prairie,11-G14,SD-PMG,SD-PMG_NA,SD-PMG.23,H7,4.2,-30.56,-0.000763169,2.05
Prairie,12-I13,WA-BLK,WA-BLK_NA,WA-BLK.12,A11,4.4,-30.4,-0.000761933,2.45
Prairie,9-A4,WA-BLK,WA-BLK_NA,WA-BLK.21,F12,4.1,-28.06,-0.000741283,1.11
Prairie,6-K8,WA-BLK,WA-BLK_NA,WA-BLK.6,E4,4.8,-29.54,-0.000754758,0
Prairie,7-I11,WA-BLK,WA-BLK_NA,WA-BLK.7,E10,4.4,-29.64,-0.000755589,1.12
