Region,BLOCK.POS,Sample.ID,Family.Unique,Population,mmol/s2,temp,humidity,date
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,759.4,17,81,7.27.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,777.6,17,81,7.27.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,771.1,17,81,7.27.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,667.3,17,81,7.27.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,600.1,17,81,7.27.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,658.2,17,81,7.27.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,749.8,17,81,7.27.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,851.9,17,81,7.27.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,142.3,17,81,7.27.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,491.3,17,81,7.27.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,524.2,22,66,7.27.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,715.2,22,66,7.27.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,653.1,22,66,7.27.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,244.6,22,66,7.27.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,549.7,22,66,7.27.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,557.9,22,66,7.27.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,662.5,22,66,7.27.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,688,22,66,7.27.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,237.2,22,66,7.27.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,468,22,66,7.27.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,353.7,22,73,7.30.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,732.7,22,73,7.30.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,703.7,22,73,7.30.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,609.3,22,73,7.30.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,598,22,73,7.30.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,562.2,22,73,7.30.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,515.1,22,73,7.30.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,752.8,22,73,7.30.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,443,22,73,7.30.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,518,22,73,7.30.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,282.2,25,62,7.30.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,675.7,25,62,7.30.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,699.7,25,62,7.30.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,589.5,25,62,7.30.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,594.4,25,62,7.30.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,361.9,25,62,7.30.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,834.9,25,62,7.30.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,818.4,25,62,7.30.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,220.8,25,62,7.30.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,384.8,25,62,7.30.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,476.5,16,83,8.1.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,494,16,83,8.1.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,420.2,16,83,8.1.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,407.7,16,83,8.1.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,405.6,16,83,8.1.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,453.8,16,83,8.1.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,354.7,16,83,8.1.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,486.5,16,83,8.1.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,367.8,16,83,8.1.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,520.4,16,83,8.1.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,565.6,16,78,8.1.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,615.1,16,78,8.1.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,478.1,16,78,8.1.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,489.4,16,78,8.1.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,493.4,16,78,8.1.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,360.8,16,78,8.1.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,447.4,16,78,8.1.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,506.7,16,78,8.1.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,372.7,16,78,8.1.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,566.6,16,78,8.1.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,459.2,18,71,8.2.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,450.2,18,71,8.2.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,497,18,71,8.2.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,489.7,18,71,8.2.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,565.3,18,71,8.2.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,487.5,18,71,8.2.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,569.7,18,71,8.2.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,527.9,18,71,8.2.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,215.7,18,71,8.2.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,572.5,18,71,8.2.18
Prairie,1-E2,SD-PMG.13,SD-PMG_NA,SD-PMG,500.7,18,67,8.2.18
GL_Alvar,1-I16,NAP-ASS.11.1,NAP-ASS_11,NAP-ASS,594.9,18,67,8.2.18
Prairie,1-N16,AB-LL.13.1,AB-LL_13,AB-LL,526.4,18,67,8.2.18
Prairie,2-B7,SD-MUD.18.2,SD-MUD_18,SD-MUD,488.9,18,67,8.2.18
GL_Alvar,2-F8,MAN-LCI.12.2,MAN-LCI_12,MAN-LCI,344.9,18,67,8.2.18
GL_Alvar,3-C8,MAN-MIS.11.3,MAN-MIS_11,MAN-MIS,469.4,18,67,8.2.18
GL_Alvar,3-D15,CAR-PSR.1.3,CAR-PSR_1,CAR-PSR,610.5,18,67,8.2.18
GL_Alvar,3-E14,CAR-NBA.1.3,CAR-NBA_1,CAR-NBA,650.1,18,67,8.2.18
Prairie,4-G11,AB-RO.18.4,AB-RO_18,AB-RO,433.5,18,67,8.2.18
GL_Alvar,4-N8,MAN-KIP.16.4,MAN-KIP_16,MAN-KIP,499,18,67,8.2.18
